Id, RegionalMember,Year,Inflation,Unit of Measurement, Subregion, Country Code
1,"Developing Asia",2018,2.7,%,,
2,"Developing Asia",2019,3.2,%,,
3,"Developing Asia",2020,3.3,%,,
4,"Developing Asia",2021,2.6,%,,
5,"Developing Asia",2022,4.4,%,,
6,"Developing Asia",2023 forecast,4.2,%,,
7,"Developing Asia",2024 forecast,3.3,%,,
8,"Developing Asia excluding the PRC",2018,3.3,%,,
9,"Developing Asia excluding the PRC",2019,3.5,%,,
10,"Developing Asia excluding the PRC",2020,4.1,%,,
11,"Developing Asia excluding the PRC",2021,4.2,%,,
12,"Developing Asia excluding the PRC",2022,6.7,%,,
13,"Developing Asia excluding the PRC",2023 forecast,6.2,%,,
14,"Developing Asia excluding the PRC",2024 forecast,4.4,%,,
15,"Caucasus and Central Asia",2018,8.2,%,Central Asia,
16,"Caucasus and Central Asia",2019,7.4,%,Central Asia,
17,"Caucasus and Central Asia",2020,7.7,%,Central Asia,
18,"Caucasus and Central Asia",2021,9,%,Central Asia,
19,"Caucasus and Central Asia",2022,12.9,%,Central Asia,
20,"Caucasus and Central Asia",2023 forecast,10.3,%,Central Asia,
21,"Caucasus and Central Asia",2024 forecast,7.5,%,Central Asia,
22,"Armenia",2018,2.5,%,Central Asia,ARM
23,"Armenia",2019,1.4,%,Central Asia,ARM
24,"Armenia",2020,1.2,%,Central Asia,ARM
25,"Armenia",2021,7.2,%,Central Asia,ARM
26,"Armenia",2022,8.6,%,Central Asia,ARM
27,"Armenia",2023 forecast,7,%,Central Asia,ARM
28,"Armenia",2024 forecast,6.2,%,Central Asia,ARM
29,"Azerbaijan",2018,2.4,%,Central Asia,AZE
30,"Azerbaijan",2019,2.7,%,Central Asia,AZE
31,"Azerbaijan",2020,2.8,%,Central Asia,AZE
32,"Azerbaijan",2021,6.7,%,Central Asia,AZE
33,"Azerbaijan",2022,13.9,%,Central Asia,AZE
34,"Azerbaijan",2023 forecast,7,%,Central Asia,AZE
35,"Azerbaijan",2024 forecast,6.5,%,Central Asia,AZE
36,"Georgia",2018,2.6,%,Central Asia,GEO
37,"Georgia",2019,4.9,%,Central Asia,GEO
38,"Georgia",2020,5.2,%,Central Asia,GEO
39,"Georgia",2021,9.6,%,Central Asia,GEO
40,"Georgia",2022,11.9,%,Central Asia,GEO
41,"Georgia",2023 forecast,6,%,Central Asia,GEO
42,"Georgia",2024 forecast,4,%,Central Asia,GEO
43,"Kazakhstan",2018,6,%,Central Asia,KAZ
44,"Kazakhstan",2019,5.3,%,Central Asia,KAZ
45,"Kazakhstan",2020,6.8,%,Central Asia,KAZ
46,"Kazakhstan",2021,8,%,Central Asia,KAZ
47,"Kazakhstan",2022,15,%,Central Asia,KAZ
48,"Kazakhstan",2023 forecast,11.8,%,Central Asia,KAZ
49,"Kazakhstan",2024 forecast,6.4,%,Central Asia,KAZ
50,"Kyrgyz Republic",2018,1.5,%,Central Asia,KGZ
51,"Kyrgyz Republic",2019,1.1,%,Central Asia,KGZ
52,"Kyrgyz Republic",2020,6.3,%,Central Asia,KGZ
53,"Kyrgyz Republic",2021,11.9,%,Central Asia,KGZ
54,"Kyrgyz Republic",2022,13.9,%,Central Asia,KGZ
55,"Kyrgyz Republic",2023 forecast,12,%,Central Asia,KGZ
56,"Kyrgyz Republic",2024 forecast,8.6,%,Central Asia,KGZ
57,"Tajikistan",2018,5.4,%,Central Asia,TJK
58,"Tajikistan",2019,8,%,Central Asia,TJK
59,"Tajikistan",2020,9.4,%,Central Asia,TJK
60,"Tajikistan",2021,8,%,Central Asia,TJK
61,"Tajikistan",2022,4.2,%,Central Asia,TJK
62,"Tajikistan",2023 forecast,7,%,Central Asia,TJK
63,"Tajikistan",2024 forecast,6.5,%,Central Asia,TJK
64,"Turkmenistan",2018,13.2,%,Central Asia,TKM
65,"Turkmenistan",2019,13,%,Central Asia,TKM
66,"Turkmenistan",2020,10,%,Central Asia,TKM
67,"Turkmenistan",2021,12.5,%,Central Asia,TKM
68,"Turkmenistan",2022,10,%,Central Asia,TKM
69,"Turkmenistan",2023 forecast,10,%,Central Asia,TKM
70,"Turkmenistan",2024 forecast,10,%,Central Asia,TKM
71,"Uzbekistan",2018,17.5,%,Central Asia,UZB
72,"Uzbekistan",2019,14.6,%,Central Asia,UZB
73,"Uzbekistan",2020,12.9,%,Central Asia,UZB
74,"Uzbekistan",2021,10.7,%,Central Asia,UZB
75,"Uzbekistan",2022,11.4,%,Central Asia,UZB
76,"Uzbekistan",2023 forecast,11,%,Central Asia,UZB
77,"Uzbekistan",2024 forecast,10,%,Central Asia,UZB
78,"East Asia",2018,2,%,East Asia,
79,"East Asia",2019,2.6,%,East Asia,
80,"East Asia",2020,2.2,%,East Asia,
81,"East Asia",2021,1.1,%,East Asia,
82,"East Asia",2022,2.3,%,East Asia,
83,"East Asia",2023 forecast,2.3,%,East Asia,
84,"East Asia",2024 forecast,2,%,East Asia,
85,"Hong Kong, China",2018,2.4,%,East Asia,HKG
86,"Hong Kong, China",2019,2.9,%,East Asia,HKG
87,"Hong Kong, China",2020,0.3,%,East Asia,HKG
88,"Hong Kong, China",2021,1.6,%,East Asia,HKG
89,"Hong Kong, China",2022,1.9,%,East Asia,HKG
90,"Hong Kong, China",2023 forecast,2.3,%,East Asia,HKG
91,"Hong Kong, China",2024 forecast,2.1,%,East Asia,HKG
92,"Mongolia",2018,6.8,%,East Asia,MNG
93,"Mongolia",2019,7.3,%,East Asia,MNG
94,"Mongolia",2020,3.7,%,East Asia,MNG
95,"Mongolia",2021,7.3,%,East Asia,MNG
96,"Mongolia",2022,15.2,%,East Asia,MNG
97,"Mongolia",2023 forecast,10.9,%,East Asia,MNG
98,"Mongolia",2024 forecast,8.7,%,East Asia,MNG
99,"Peoples Republic of China",2018,2.1,%,East Asia,CHN
100,"Peoples Republic of China",2019,2.9,%,East Asia,CHN
101,"Peoples Republic of China",2020,2.5,%,East Asia,CHN
102,"Peoples Republic of China",2021,0.9,%,East Asia,CHN
103,"Peoples Republic of China",2022,2,%,East Asia,CHN
104,"Peoples Republic of China",2023 forecast,2.2,%,East Asia,CHN
105,"Peoples Republic of China",2024 forecast,2,%,East Asia,CHN
106,"Republic of Korea",2018,1.5,%,East Asia,KOR
107,"Republic of Korea",2019,0.4,%,East Asia,KOR
108,"Republic of Korea",2020,0.5,%,East Asia,KOR
109,"Republic of Korea",2021,2.5,%,East Asia,KOR
110,"Republic of Korea",2022,5.1,%,East Asia,KOR
111,"Republic of Korea",2023 forecast,3.2,%,East Asia,KOR
112,"Republic of Korea",2024 forecast,2,%,East Asia,KOR
113,"Taipei China",2018,1.4,%,East Asia,TWN
114,"Taipei China",2019,0.6,%,East Asia,TWN
115,"Taipei China",2020,-0.2,%,East Asia,TWN
116,"Taipei China",2021,2,%,East Asia,TWN
117,"Taipei China",2022,2.9,%,East Asia,TWN
118,"Taipei China",2023 forecast,2,%,East Asia,TWN
119,"Taipei China",2024 forecast,2,%,East Asia,TWN
120,"South Asia",2018,3.7,%,South Asia,
121,"South Asia",2019,5,%,South Asia,
122,"South Asia",2020,6.5,%,South Asia,
123,"South Asia",2021,5.8,%,South Asia,
124,"South Asia",2022,8.2,%,South Asia,
125,"South Asia",2023 forecast,8.1,%,South Asia,
126,"South Asia",2024 forecast,5.8,%,South Asia,
127,"Afghanistan",2018,0.6,%,South Asia,AFG
